N_TOKENS,einsum,arch,energy,latency,computes,ops_per_tensor_element,ops_per_cycle,allocation
1024,I,AiM,5.687652605834703e-12,1.6384e-05,4194304,0.5,256.0,
1024,V_new,AiM,0.527335780457129,0.025165824,17179869184,682.6666666666666,682.6667,
1024,K_new,AiM,0.527335780457129,0.025165824,17179869184,682.6666666666666,682.6667,
1024,Q_new,AiM,0.527335780457129,0.025165824,17179869184,682.6666666666666,682.6667,
1024,QK,AiM,0.13057479761393653,0.006234112,4294967296,102.4,688.9461,
1024,QK_softmax,AiM,0.0026317412561252204,0.000131072,33554432,0.5,256.0,
1024,AV,AiM,0.13309631774411923,0.0063488,4294967296,102.4,676.5007,
1024,Z,AiM,0.527335780457129,0.025165824,17179869184,682.6666666666666,682.6667,
1024,FFA,AiM,2.1088022269458335,0.10063872,68719476736,780.1904761904761,682.8334,
1024,FFB,AiM,2.109882878430198,0.10068787,68719476736,780.1904761904761,682.50006,
1024,I,TPU,0.00039869375177659094,0.000131072,4194304,0.5,30.476192,
1024,V_new,TPU,0.005219861613843783,0.000786432,17179869184,682.6666666666666,20805.078,
1024,K_new,TPU,0.005219861613843783,0.000786432,17179869184,682.6666666666666,20805.078,
1024,Q_new,TPU,0.005219861613843783,0.000786432,17179869184,682.6666666666666,20805.078,
1024,QK,TPU,0.004635645350345575,0.00131072,4294967296,102.4,3120.762,
1024,QK_softmax,TPU,0.006933150795148012,0.002097152,33554432,0.5,15.238096,
1024,AV,TPU,0.00493464885671593,0.00131072,4294967296,102.4,3120.762,
1024,Z,TPU,0.005219861613843783,0.000786432,17179869184,682.6666666666666,20805.078,
1024,FFA,TPU,0.01876384000134871,0.002752512,68719476736,780.1904761904761,23777.234,
1024,FFB,TPU,0.019260981919807223,0.002752512,68719476736,780.1904761904761,23777.234,
1024,I,Hybrid,5.687652605834703e-12,1.6384e-05,4194304,0.5,256.0,AiM
1024,V_new,Hybrid,0.005219861886851122,0.000786432,17179869184,682.6666666666666,20805.078,TPU
1024,K_new,Hybrid,0.005219861886851122,0.000786432,17179869184,682.6666666666666,20805.078,TPU
1024,Q_new,Hybrid,0.005219861886851122,0.000786432,17179869184,682.6666666666666,20805.078,TPU
1024,QK,Hybrid,0.004635645805357798,0.00131072,4294967296,102.4,3120.762,TPU
1024,QK_softmax,Hybrid,0.0026317412561252204,0.000131072,33554432,0.5,256.0,AiM
1024,AV,Hybrid,0.004934649311728152,0.00131072,4294967296,102.4,3120.762,TPU
1024,Z,Hybrid,0.005219861886851122,0.000786432,17179869184,682.6666666666666,20805.078,TPU
1024,FFA,Hybrid,0.01876384095687437,0.002752512,68719476736,780.1904761904761,23777.234,TPU
1024,FFB,Hybrid,0.019260982875332882,0.002752512,68719476736,780.1904761904761,23777.234,TPU
4096,I,AiM,2.2750610423338813e-11,6.553599814651534e-05,16777216,0.5,256.0,
4096,V_new,AiM,2.109343121828516,0.10066329687833786,68719476736,1365.3333333333333,682.6666870117188,
4096,K_new,AiM,2.109343121828516,0.10066329687833786,68719476736,1365.3333333333333,682.6666870117188,
4096,Q_new,AiM,2.109343121828516,0.10066329687833786,68719476736,1365.3333333333333,682.6666870117188,
4096,QK,AiM,2.0870331822922648,0.09964748471975327,68719476736,120.47058823529412,689.6257934570312,
4096,QK_softmax,AiM,0.042107860098003526,0.002097151940688491,536870912,0.5,256.0,
4096,AV,AiM,2.1317001103126394,0.10167910158634186,68719476736,120.47058823529412,675.8466186523438,
4096,Z,AiM,2.109343121828516,0.10066329687833786,68719476736,1365.3333333333333,682.6666870117188,
4096,FFA,AiM,8.435208907783334,0.40255486965179443,274877906944,1820.4444444444443,682.8333740234375,
4096,FFB,AiM,8.439531513720793,0.40275147557258606,274877906944,1820.4444444444443,682.5000610351562,
4096,I,TPU,0.0015947750071063638,0.0005242879851721227,16777216,0.5,30.47619133811603,
4096,V_new,TPU,0.016443282263218267,0.001572864013724029,68719476736,1365.3333333333333,41610.15836708918,
4096,K_new,TPU,0.016443282263218267,0.001572864013724029,68719476736,1365.3333333333333,41610.15836708918,
4096,Q_new,TPU,0.016443282263218267,0.001572864013724029,68719476736,1365.3333333333333,41610.15836708918,
4096,QK,TPU,0.06369449799168374,0.017825791612267494,68719476736,120.47058823529412,3671.484673696761,
4096,QK_softmax,TPU,0.11093041272236819,0.033554431051015854,536870912,0.5,15.238095669058016,
4096,AV,TPU,0.06899113238542791,0.017825791612267494,68719476736,120.47058823529412,3671.484673696761,
4096,Z,TPU,0.016443282263218267,0.001572864013724029,68719476736,1365.3333333333333,41610.15836708918,
4096,FFA,TPU,0.05964394428596768,0.004718591924756765,274877906944,1820.4444444444443,55480.21252490577,
4096,FFB,TPU,0.060988804031553975,0.004718591924756765,274877906944,1820.4444444444443,55480.21252490577,
4096,I,Hybrid,2.2750610423338813e-11,6.553599814651534e-05,16777216,0.5,256.0000072401747,AiM
4096,V_new,Hybrid,0.016443282809232945,0.001572864013724029,68719476736,1365.3333333333333,41610.15836708918,TPU
4096,K_new,Hybrid,0.016443282809232945,0.001572864013724029,68719476736,1365.3333333333333,41610.15836708918,TPU
4096,Q_new,Hybrid,0.016443282809232945,0.001572864013724029,68719476736,1365.3333333333333,41610.15836708918,TPU
4096,QK,Hybrid,0.06369450417984972,0.017825791612267494,68719476736,120.47058823529412,3671.484673696761,TPU
4096,QK_softmax,Hybrid,0.042107860098003526,0.002097151940688491,536870912,0.5,256.0000072401747,AiM
4096,AV,Hybrid,0.06899113857359389,0.017825791612267494,68719476736,120.47058823529412,3671.484673696761,TPU
4096,Z,Hybrid,0.016443282809232945,0.001572864013724029,68719476736,1365.3333333333333,41610.15836708918,TPU
4096,FFA,Hybrid,0.0596439459240116,0.004718591924756765,274877906944,1820.4444444444443,55480.21252490577,TPU
4096,FFB,Hybrid,0.0609888056695979,0.004718591924756765,274877906944,1820.4444444444443,55480.21252490577,TPU
8192,I,AiM,4.5501220846677626e-11,0.00013107199629303068,33554432,0.5,256.0,
8192,V_new,AiM,4.218686243657032,0.20132659375667572,137438953472,1638.4,682.6666870117188,
8192,K_new,AiM,4.218686243657032,0.20132659375667572,137438953472,1638.4,682.6666870117188,
8192,Q_new,AiM,4.218686243657032,0.20132659375667572,137438953472,1638.4,682.6666870117188,
8192,QK,AiM,8.346690342815243,0.3985244035720825,274877906944,124.12121212121212,689.7391967773438,
8192,QK_softmax,AiM,0.1684314403920141,0.008388607762753963,2147483648,0.5,256.0,
8192,AV,AiM,8.528239792188382,0.406781941652298,274877906944,124.12121212121212,675.7377319335938,
8192,Z,AiM,4.218686243657032,0.20132659375667572,137438953472,1638.4,682.6666870117188,
8192,FFA,AiM,16.870417815566668,0.8051097393035889,549755813888,2340.5714285714284,682.8333740234375,
8192,FFB,AiM,16.879063027441585,0.8055029511451721,549755813888,2340.5714285714284,682.5000610351562,
8192,I,TPU,0.0031895500142127275,0.0010485759703442454,33554432,0.5,30.47619133811603,
8192,V_new,TPU,0.030843502316586356,0.0026214399840682745,137438953472,1638.4,49932.190779651915,
8192,K_new,TPU,0.030843502316586356,0.0026214399840682745,137438953472,1638.4,49932.190779651915,
8192,Q_new,TPU,0.030843502316586356,0.0026214399840682745,137438953472,1638.4,49932.190779651915,
8192,QK,TPU,0.24779410689083797,0.06920601427555084,274877906944,124.12121212121212,3782.7417969986227,
8192,QK_softmax,TPU,0.44372165088947274,0.13421772420406342,2147483648,0.5,15.238095669058016,
8192,AV,TPU,0.26932236208526356,0.06920601427555084,274877906944,124.12121212121212,3782.7417969986227,
8192,Z,TPU,0.030843502316586356,0.0026214399840682745,137438953472,1638.4,49932.190779651915,
8192,FFA,TPU,0.11111563973253466,0.00798915047198534,549755813888,2340.5714285714284,65536.00003449526,
8192,FFB,TPU,0.11380535922370724,0.00798915047198534,549755813888,2340.5714285714284,65536.00003449526,
8192,I,Hybrid,4.5501220846677626e-11,0.00013107199629303068,33554432,0.5,256.0000072401747,AiM
8192,V_new,Hybrid,0.0308435032266108,0.0026214399840682745,137438953472,1638.4,49932.190779651915,TPU
8192,K_new,Hybrid,0.0308435032266108,0.0026214399840682745,137438953472,1638.4,49932.190779651915,TPU
8192,Q_new,Hybrid,0.0308435032266108,0.0026214399840682745,137438953472,1638.4,49932.190779651915,TPU
8192,QK,Hybrid,0.24779413091548336,0.06920601427555084,274877906944,124.12121212121212,3782.7417969986227,TPU
8192,QK_softmax,Hybrid,0.1684314403920141,0.008388607762753963,2147483648,0.5,256.0000072401747,AiM
8192,AV,Hybrid,0.26932238610990894,0.06920601427555084,274877906944,124.12121212121212,3782.7417969986227,TPU
8192,Z,Hybrid,0.0308435032266108,0.0026214399840682745,137438953472,1638.4,49932.190779651915,TPU
8192,FFA,Hybrid,0.11111564250594239,0.00798915047198534,549755813888,2340.5714285714284,65536.00003449526,TPU
8192,FFB,Hybrid,0.11380536199711497,0.00798915047198534,549755813888,2340.5714285714284,65536.00003449526,TPU
